time,x_cart,y_cart,z_cart,lat,long,height,clock_offset,integer_ambiguity,noise,visibility,distance
111,-13744206.079079486,15253472.024990022,16807654.24810116,[[39.3490022]],[[132.02056801]],[[20164738.8540344]],-7.661746758458164e-05,100,-0.026513875449216878,False,27912.118287810626
112,-13746335.933556551,15253800.763910819,16805636.74042342,[[39.34334521]],[[132.02436903]],[[20164751.19476537]],-7.66174707678131e-05,100,0.06023020994102644,False,27912.236022415385
113,-13748465.519899372,15254129.569144864,16803618.874179624,[[39.33768769]],[[132.02816874]],[[20164763.535924]],-7.661747395104455e-05,100,2.463242112485286,False,27912.35368284838
114,-13750594.838064661,15254458.440648321,16801600.649413437,[[39.33202962]],[[132.03196716]],[[20164775.87751018]],-7.6617477134276e-05,100,-0.19236096478112252,False,27912.47126911451
115,-13752723.888009122,15254787.378377324,16799582.066168483,[[39.32637102]],[[132.03576428]],[[20164788.21952375]],-7.661748031750746e-05,100,0.30154734233361247,False,27912.58878121859
116,-13754852.669689463,15255116.382288009,16797563.12448843,[[39.32071187]],[[132.03956011]],[[20164800.5619646]],-7.661748350073892e-05,100,-0.03471176970524331,False,27912.706219165466
117,-13756981.183062423,15255445.452336501,16795543.824416913,[[39.31505219]],[[132.04335463]],[[20164812.90483256]],-7.661748668397037e-05,100,-1.168678037619532,False,27912.82358295999
118,-13759109.42808476,15255774.588478936,16793524.165997624,[[39.30939196]],[[132.04714787]],[[20164825.24812756]],-7.661748986720183e-05,100,1.1428228145150205,False,27912.94087260705
119,-13761237.4047132,15256103.790671414,16791504.149274234,[[39.3037312]],[[132.0509398]],[[20164837.59184942]],-7.661749305043329e-05,100,0.7519330326867741,False,27913.058088111484
120,-13763365.11290452,15256433.058870045,16789483.774290413,[[39.2980699]],[[132.05473044]],[[20164849.93599803]],-7.661749623366474e-05,100,0.7910319470430469,False,27913.175229478144
121,-13765492.552615501,15256762.393030925,16787463.041089863,[[39.29240805]],[[132.05851979]],[[20164862.28057325]],-7.66174994168962e-05,100,-0.9093874547947389,False,27913.292296711905
122,-13767619.72380293,15257091.79311015,16785441.949716277,[[39.28674567]],[[132.06230784]],[[20164874.62557495]],-7.661750260012766e-05,100,1.4027943109360992,False,27913.40928981764
123,-13769746.626423571,15257421.259063806,16783420.50021336,[[39.28108276]],[[132.0660946]],[[20164886.971003]],-7.661750578335911e-05,100,-1.4018510627922809,False,27913.5262088002
124,-13771873.260434274,15257750.79084797,16781398.69262483,[[39.2754193]],[[132.06988006]],[[20164899.31685728]],-7.661750896659057e-05,100,0.5868570938002703,False,27913.643053664477
125,-13773999.625791816,15258080.388418712,16779376.526994403,[[39.2697553]],[[132.07366423]],[[20164911.66313764]],-7.661751214982202e-05,100,2.1904556258099785,False,27913.75982441533
126,-13776125.722453063,15258410.051732097,16777354.003365804,[[39.26409077]],[[132.0774471]],[[20164924.00984396]],-7.661751533305348e-05,100,-0.9905363251306883,False,27913.876521057646
127,-13778251.55037484,15258739.780744176,16775331.121782772,[[39.2584257]],[[132.08122869]],[[20164936.35697612]],-7.661751851628494e-05,100,-0.5662977296027719,False,27913.9931435963
128,-13780377.109513994,15259069.575410997,16773307.882289052,[[39.25276009]],[[132.08500898]],[[20164948.70453396]],-7.661752169951639e-05,100,0.09965136508764122,False,27914.10969203618
129,-13782502.399827382,15259399.4356886,16771284.284928387,[[39.24709395]],[[132.08878798]],[[20164961.05251737]],-7.661752488274785e-05,100,-0.5034756541161992,False,27914.22616638216
130,-13784627.42127189,15259729.361533022,16769260.329744542,[[39.24142727]],[[132.09256568]],[[20164973.40092621]],-7.66175280659793e-05,100,-1.5506634310661327,False,27914.342566639134
131,-13786752.173804387,15260059.352900293,16767236.016781284,[[39.23576005]],[[132.0963421]],[[20164985.74976036]],-7.661753124921076e-05,100,0.06856297480602733,False,27914.458892811996
132,-13788876.657381782,15260389.409746423,16765211.346082374,[[39.23009229]],[[132.10011722]],[[20164998.09901968]],-7.661753443244222e-05,100,-1.0623037137261049,False,27914.575144905633
133,-13791000.87196097,15260719.532027425,16763186.317691604,[[39.224424]],[[132.10389105]],[[20165010.44870402]],-7.661753761567367e-05,100,0.4735924306351816,False,27914.691322924937
134,-13793124.817498872,15261049.719699318,16761160.931652756,[[39.21875518]],[[132.10766359]],[[20165022.7988133]],-7.661754079890513e-05,100,-0.9194242342338032,False,27914.807426874817
135,-13795248.49395241,15261379.97271808,16759135.188009633,[[39.21308581]],[[132.11143485]],[[20165035.14934734]],-7.661754398213659e-05,100,1.5499344050175394,False,27914.92345676017
136,-13797371.90127852,15261710.291039707,16757109.086806025,[[39.20741591]],[[132.11520481]],[[20165047.50030603]],-7.661754716536804e-05,100,-0.7832532923362371,False,27915.039412585887
137,-13799495.039434167,15262040.674620183,16755082.628085755,[[39.20174548]],[[132.11897348]],[[20165059.85168924]],-7.66175503485995e-05,100,-0.3220615162056756,False,27915.155294356893
138,-13801617.908376282,15262371.123415487,16753055.811892634,[[39.19607451]],[[132.12274086]],[[20165072.20349683]],-7.661755353183096e-05,100,0.8135172173696698,False,27915.27110207808
139,-13803740.508061852,15262701.637381585,16751028.638270495,[[39.190403]],[[132.12650696]],[[20165084.55572868]],-7.661755671506241e-05,100,-1.2308643164339552,False,27915.386835754365
140,-13805862.838447865,15263032.216474432,16749001.107263159,[[39.18473096]],[[132.13027177]],[[20165096.90838464]],-7.661755989829387e-05,100,0.22745993460412942,False,27915.50249539066
141,-13807984.899491303,15263362.860649988,16746973.218914475,[[39.17905838]],[[132.13403528]],[[20165109.2614646]],-7.661756308152532e-05,100,1.307142754282428,False,27915.618080991884
142,-13810106.69114918,15263693.569864191,16744944.973268284,[[39.17338527]],[[132.13779751]],[[20165121.61496842]],-7.661756626475678e-05,100,-1.6074832345612275,False,27915.733592562956
143,-13812228.21337849,15264024.344072985,16742916.370368445,[[39.16771163]],[[132.14155846]],[[20165133.96889596]],-7.661756944798824e-05,100,0.1846338585323042,False,27915.84903010878
144,-13814349.466136277,15264355.183232306,16740887.41025883,[[39.16203745]],[[132.14531811]],[[20165146.3232471]],-7.661757263121969e-05,100,0.25988279424842353,False,27915.964393634313
145,-13816470.449379561,15264686.087298075,16738858.092983296,[[39.15636274]],[[132.14907648]],[[20165158.67802171]],-7.661757581445115e-05,100,0.7818228717773104,False,27916.079683144453
146,-13818591.163065407,15265017.056226207,16736828.41858573,[[39.15068749]],[[132.15283357]],[[20165171.03321967]],-7.66175789976826e-05,100,-1.236950710878082,False,27916.194898644142
147,-13820711.60715086,15265348.089972612,16734798.387110012,[[39.14501171]],[[132.15658936]],[[20165183.38884082]],-7.661758218091406e-05,100,-1.3204566130842763,False,27916.310040138305
148,-13822831.781592987,15265679.18849319,16732767.99860003,[[39.13933539]],[[132.16034387]],[[20165195.74488503]],-7.661758536414552e-05,100,0.5219415656168976,False,27916.425107631872
149,-13824951.686348874,15266010.351743847,16730737.253099706,[[39.13365855]],[[132.1640971]],[[20165208.1013522]],-7.661758854737697e-05,100,0.29698467323318606,False,27916.540101129805
150,-13827071.321375614,15266341.579680463,16728706.150652925,[[39.12798117]],[[132.16784904]],[[20165220.45824218]],-7.661759173060843e-05,100,0.25049285034587654,False,27916.655020637016
151,-13829190.686630297,15266672.872258915,16726674.691303607,[[39.12230325]],[[132.1715997]],[[20165232.81555483]],-7.661759491383989e-05,100,0.3464482094969757,False,27916.76986615845
152,-13831309.782070043,15267004.22943508,16724642.87509568,[[39.11662481]],[[132.17534907]],[[20165245.17329003]],-7.661759809707134e-05,100,-0.6800247215784908,False,27916.884637699062
