epoch,phase
54424,28997431.324150957
54425,28996125.525160763
54426,28994819.657901514
54427,28993513.71822153
54428,28992207.711687542
54429,28990901.631653298
54430,28989595.483961146
54431,28988289.265813652
54432,28986982.975775167
54433,28985676.62000679
54434,28984370.195201527
54435,28983063.696560133
54436,28981757.13419848
54437,28980450.497895338
54438,28979143.79422005
54439,28977837.02131748
54440,28976530.18061713
54441,28975223.27037834
54442,28973916.290271983
54443,28972609.242276687
54444,28971302.12519635
54445,28969994.94294171
54446,28968687.689388018
54447,28967380.36745542
54448,28966072.978573054
54449,28964765.521911748
54450,28963457.995892536
54451,28962150.403978586
54452,28960842.74162297
54453,28959535.014375653
54454,28958227.21785803
54455,28956919.3558738
54456,28955611.42398577
54457,28954303.426426228
54458,28952995.364093006
54459,28951687.230467398
54460,28950379.03098832
54461,28949070.765581455
54462,28947762.431898322
54463,28946454.030384153
54464,28945145.56427005
54465,28943837.03016509
54466,28942528.43395044
54467,28941219.76724186
54468,28939911.036059897
54469,28938602.23850838
54470,28937293.374382105
54471,28935984.44517769
54472,28934675.44930482
54473,28933366.387829654
54474,28932057.25963235
54475,28930748.068828583
54476,28929438.812702436
54477,28928129.487370558
54478,28926820.10065376
54479,28925510.64392438
54480,28924201.125260185
54481,28922891.541520413
54482,28921581.892499585
54483,28920272.180159997
54484,28918962.39842119
54485,28917652.557160325
54486,28916342.651762184
54487,28915032.67766145
54488,28913722.642816182
54489,28912412.54198616
54490,28911102.37666357
54491,28909792.148361225
54492,28908481.85531671
54493,28907171.496777207
54494,28905861.079103306
54495,28904550.59410019
54496,28903240.04584031
54497,28901929.436627436
54498,28900618.76220195
54499,28899308.02521478
54500,28897997.223131124
54501,28896686.360311214
54502,28895375.432529658
54503,28894064.443000194
54504,28892753.39041431
54505,28891442.27326735
54506,28890131.096960902
54507,28888819.856142614
54508,28887508.5527861
54509,28886197.18784845
54510,28884885.762713473
54511,28883574.268521722
54512,28882262.718529005
54513,28880951.105728522
54514,28879639.428058043
54515,28878327.6922885
54516,28877015.893153597
54517,28875704.030611154
54518,28874392.1094744
54519,28873080.12830489
54520,28871768.080092303
54521,28870455.975198906
54522,28869143.808315422
54523,28867831.58031001
54524,28866519.2907949
54525,28865206.941363875
54526,28863894.530585706
54527,28862582.060031828
54528,28861269.528321527
54529,28859956.935621522
54530,28858644.282767836
54531,28857331.5680554
54532,28856018.796655603
54533,28854705.964502368
54534,28853393.068648245
54535,28852080.115929145
54536,28850767.10593665
54537,28849454.030450802
54538,28848140.89974993
54539,28846827.707699526
54540,28845514.458670344
54541,28844201.14721245
54542,28842887.778149538
54543,28841574.34873507
54544,28840260.862962432
54545,28838947.31357229
54546,28837633.709164467
54547,28836320.04583267
54548,28835006.32315858
54549,28833692.539944816
54550,28832378.698259052
54551,28831064.801599044
54552,28829750.847147856
54553,28828436.82987856
54554,28827122.75808149
54555,28825808.62663687
54556,28824494.438125044
54557,28823180.192956753
54558,28821865.88763476
54559,28820551.52754063
54560,28819237.107070453
54561,28817922.62939231
54562,28816608.094999604
54563,28815293.504018325
54564,28813978.853900623
54565,28812664.148472153
54566,28811349.387725927
54567,28810034.568465
54568,28808719.690030735
54569,28807404.759347536
54570,28806089.76886695
54571,28804774.7222807
54572,28803459.620475564
54573,28802144.46305985
54574,28800829.247959275
54575,28799513.976718485
54576,28798198.649856392
54577,28796883.26547403
54578,28795567.828473374
54579,28794252.333049715
54580,28792936.785471685
54581,28791621.177471213
54582,28790305.519029774
54583,28788989.80024052
54584,28787674.02864494
54585,28786358.201617897
54586,28785042.31875491
54587,28783726.384462833
54588,28782410.3914739
54589,28781094.34545527
54590,28779778.24519992
54591,28778462.087609768
54592,28777145.877297863
54593,28775829.61277303
54594,28774513.292264733
54595,28773196.91841442
54596,28771880.491305493
54597,28770564.01258084
54598,28769247.47560263
54599,28767930.887454752
54600,28766614.24340051
54601,28765297.54541108
54602,28763980.797619663
54603,28762663.992158756
54604,28761347.136545163
54605,28760030.226523846
54606,28758713.262002707
54607,28757396.24587348
54608,28756079.174328517
54609,28754762.05612277
54610,28753444.87827197
54611,28752127.650529247
54612,28750810.36997459
54613,28749493.03566371
54614,28748175.65020742
54615,28746858.21319976
54616,28745540.721484594
54617,28744223.179827403
54618,28742905.58542845
54619,28741587.937785063
54620,28740270.240650803
54621,28738952.488422677
54622,28737634.68926154
54623,28736316.83655057
54624,28734998.931028172
54625,28733680.975360047
54626,28732362.965533473
54627,28731044.907290168
54628,28729726.797740605
54629,28728408.63681856
54630,28727090.424395543
54631,28725772.161225256
54632,28724453.850427385
54633,28723135.48377974
54634,28721817.071625937
54635,28720498.605359677
54636,28719180.08959486
54637,28717861.524188247
54638,28716542.909242198
54639,28715224.239081815
54640,28713905.52606087
54641,28712586.759948023
54642,28711267.944277976
54643,28709949.079615198
54644,28708630.163030505
54645,28707311.197933644
54646,28705992.1837152
54647,28704673.1208722
54648,28703354.00990614
54649,28702034.848015636
54650,28700715.63763297
54651,28699396.376569305
54652,28698077.0680277
54653,28696757.712739073
54654,28695438.30606956
54655,28694118.851182364
54656,28692799.34549565
54657,28691479.79777194
54658,28690160.195913613
54659,28688840.548160996
54660,28687520.85230325
54661,28686201.107866645
54662,28684881.315449227
54663,28683561.475851715
54664,28682241.588688858
54665,28680921.653600845
54666,28679601.671119217
54667,28678281.63849081
54668,28676961.561366607
54669,28675641.437818646
54670,28674321.263271384
54671,28673001.045795593
54672,28671680.778650656
54673,28670360.466894355
54674,28669040.105602328
54675,28667719.69948344
54676,28666399.24633328
54677,28665078.747129533
54678,28663758.201673493
54679,28662437.609245263
54680,28661116.96967629
54681,28659796.28347323
54682,28658475.55622127
54683,28657154.77665613
54684,28655833.954249237
54685,28654513.085680194
54686,28653192.171576
54687,28651871.21057486
54688,28650550.20656937
54689,28649229.157263964
54690,28647908.05744131
54691,28646586.918280855
54692,28645265.73080865
54693,28643944.50157803
54694,28642623.225460038
54695,28641301.903085425
54696,28639980.537426177
54697,28638659.125988152
54698,28637337.66946036
54699,28636016.17203569
54700,28634694.628212273
54701,28633373.040314995
54702,28632051.40465885
54703,28630729.729790464
54704,28629408.009617686
54705,28628086.24686889
54706,28626764.43924969
54707,28625442.58566762
54708,28624120.69110073
54709,28622798.751818266
54710,28621476.772017404
54711,28620154.74385
54712,28618832.674811836
54713,28617510.56227509
54714,28616188.405983955
54715,28614866.21036037
54716,28613543.96840503
54717,28612221.684462674
54718,28610899.358528517
54719,28609576.987672385
54720,28608254.579427253
54721,28606932.121838387
54722,28605609.629126932
54723,28604287.08880995
54724,28602964.50778901
54725,28601641.88616644
54726,28600319.220531847
54727,28598996.51534933
54728,28597673.766514488
54729,28596350.977051556
54730,28595028.145947646
54731,28593705.271831904
54732,28592382.35869275
54733,28591059.402684696
54734,28589736.40674938
54735,28588413.367200166
54736,28587090.290081847
54737,28585767.16818186
54738,28584444.00637013
54739,28583120.805711284
54740,28581797.564813226
54741,28580474.282940015
54742,28579150.95978249
54743,28577827.597292315
54744,28576504.191787355
54745,28575180.751031347
54746,28573857.266901027
54747,28572533.74276288
54748,28571210.179481275
54749,28569886.573261496
54750,28568562.932414226
54751,28567239.24975298
54752,28565915.527766783
54753,28564591.766015753
54754,28563267.96465883
54755,28561944.12443341
54756,28560620.24589831
54757,28559296.325715285
54758,28557972.369387034
54759,28556648.37229071
54760,28555324.337750424
