epoch,phase
54584,47817027.00754365
54585,47815711.18001607
54586,47814395.29665254
54587,47813079.36185991
54588,47811763.36837043
54589,47810447.32185124
54590,47809131.221095316
54591,47807815.06300459
54592,47806498.852192104
54593,47805182.587166674
54594,47803866.26615779
54595,47802549.89180688
54596,47801233.46419734
54597,47799916.984972075
54598,47798600.44749325
54599,47797283.85884474
54600,47795967.214289874
54601,47794650.51579979
54602,47793333.76750773
54603,47792016.961546175
54604,47790700.10543192
54605,47789383.194909945
54606,47788066.22988813
54607,47786749.21325823
54608,47785432.141212575
54609,47784115.02250614
54610,47782797.844154656
54611,47781480.61591122
54612,47780163.334855855
54613,47778846.00004426
54614,47777528.61408724
54615,47776211.176578864
54616,47774893.684362955
54617,47773576.142205015
54618,47772258.54730532
54619,47770940.89916117
54620,47769623.20152616
54621,47768305.44879726
54622,47766987.649135344
54623,47765669.795923606
54624,47764351.889900416
54625,47763033.9337315
54626,47761715.92340412
54627,47760397.86466002
54628,47759079.75460963
54629,47757761.593186766
54630,47756443.380262926
54631,47755125.11659181
54632,47753806.80529308
54633,47752488.4381446
54634,47751170.025489956
54635,47749851.55872283
54636,47748533.042457156
54637,47747214.47654966
54638,47745895.861102745
54639,47744577.19044147
54640,47743258.47691963
54641,47741939.71030588
54642,47740620.89413493
54643,47739302.02897125
54644,47737983.111885644
54645,47736664.14628785
54646,47735345.13156847
54647,47734026.06822454
54648,47732706.95675754
54649,47731387.794366084
54650,47730068.58348246
54651,47728749.32191783
54652,47727430.01287525
54653,47726110.65708565
54654,47724791.24991516
54655,47723471.79452697
54656,47722152.28833926
54657,47720832.74011455
54658,47719513.13775521
54659,47718193.489501566
54660,47716873.7931428
54661,47715554.04820517
54662,47714234.25528672
54663,47712914.41518818
54664,47711594.52752427
54665,47710274.59193519
54666,47708954.6089525
54667,47707634.57582304
54668,47706314.49819775
54669,47704994.374148704
54670,47703674.19910035
54671,47702353.98112347
54672,47701033.71347743
54673,47699713.401220016
54674,47698393.03942687
54675,47697072.63280687
54676,47695752.17915558
54677,47694431.679450706
54678,47693111.13349352
54679,47691790.54056414
54680,47690469.900494
54681,47689149.21378979
54682,47687828.48603666
54683,47686507.70597035
54684,47685186.88306227
54685,47683866.01399204
54686,47682545.099386655
54687,47681224.13788432
54688,47679903.13337763
54689,47678582.083570994
54690,47677260.983247116
54691,47675939.84358543
54692,47674618.65561201
54693,47673297.425880134
54694,47671976.14926089
54695,47670654.82638503
54696,47669333.46022452
54697,47668012.04828522
54698,47666690.59125615
54699,47665369.093330204
54700,47664047.54900549
54701,47662725.960606925
54702,47661404.32444947
54703,47660082.649079785
54704,47658760.92840569
54705,47657439.165155575
54706,47656117.35703505
54707,47654795.502951644
54708,47653473.607883416
54709,47652151.6680996
54710,47650829.687797375
54711,47649507.65912863
54712,47648185.58958908
54713,47646863.47655096
54714,47645541.319758445
54715,47644219.123633474
54716,47642896.88117674
54717,47641574.596732974
54718,47640252.27029741
54719,47638929.898939855
54720,47637607.490193315
54721,47636285.032103
54722,47634962.53889012
54723,47633639.99807169
54724,47632317.416549295
54725,47630994.79442527
54726,47629672.12828922
54727,47628349.42260523
54728,47627026.673268914
54729,47625703.8833045
54730,47624381.0516991
54731,47623058.17708186
54732,47621735.2634412
54733,47620412.30693162
54734,47619089.3104948
54735,47617766.270444065
54736,47616443.19282421
54737,47615120.070422694
54738,47613796.90810941
54739,47612473.70694901
54740,47611150.465549394
54741,47609827.183174625
54742,47608503.85951552
54743,47607180.496523775
54744,47605857.09051722
54745,47604533.64925962
54746,47603210.16462771
54747,47601886.639987946
54748,47600563.07620474
54749,47599239.46948333
54750,47597915.82813443
54751,47596592.14497156
54752,47595268.42248372
54753,47593944.66023104
54754,47592620.85837247
54755,47591297.01764538
54756,47589973.13860861
54757,47588649.21792392
54758,47587325.26109398
54759,47586001.26349596
54760,47584677.228453994
54761,47583353.151819326
